run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
1-w,web,1,1,0,2,3,14.0288454024831,2.6124159969889,2.42423398255424,-1.08805689698947
10-w,web,1,0,0,8,3,11.5778700093839,2.18295642344869,4.05106964686924,-1.25065232212673
100-w,web,1,1,0,8,2,16.4045540888705,1.94549658303098,4.03300473521034,-1.22302184923127
101-w,web,1,0,1,8,2,17.4055994133721,2.17572559357954,4.03674956021795,-1.13860607303162
102-w,web,1,0,1,8,2,17.5256605218001,2.17331601230264,4.03232311077071,-1.14072288884571
103-w,web,1,0,1,8,1,15.4676846729492,2.10134191121837,4.03596430734672,-1.18203088562686
104-w,web,1,0,1,2,2,14.8165687276174,2.19687161719576,2.44140933964802,-1.13163310804651
105-w,web,1,1,0,8,2,16.4257068331577,1.97010369997458,4.03391452598358,-1.24051453288305
106-w,web,1,0,0,8,2,15.6084628253578,1.69752346430234,4.04694733519385,-1.31319505219556
107-w,web,1,0,1,8,3,15.5097638016945,2.3917423290758,4.0375882479356,-1.14942812591153
108-w,web,1,1,0,2,1,14.2430542122106,2.0882975851569,2.45527837938359,-1.12364385565356
109-w,web,1,0,0,8,2,15.6901903541296,1.69674083491527,4.04755256910004,-1.31184468788317
11-w,web,1,1,0,8,1,11.5189515588681,2.18349917729721,4.05174300909553,-1.25062607777802
110-w,web,1,1,1,8,2,17.7842655569907,2.44080175356692,4.03217480620233,-1.11621512370956
111-w,web,1,0,1,8,1,15.6187723963599,2.10018645697347,4.0376121855995,-1.18159955350185
112-w,web,1,1,0,2,2,13.8141618417567,1.99738252611558,2.44485401444322,-1.21158341622644
113-w,web,1,1,0,2,1,14.3457132355582,2.05507521180099,2.44599017320691,-1.11457781061619
114-w,web,1,1,1,2,1,13.2475641909594,2.31290350913807,2.45012454458632,-1.11619297731149
115-w,web,1,0,0,2,3,11.7858960627655,1.83316064536815,2.4545090842116,-1.35011317373578
116-w,web,1,1,1,2,3,13.9391723190082,2.66880153571138,2.44692071175954,-1.08814271458856
117-w,web,1,0,0,2,1,11.7083723911841,1.95370705177889,2.44566784801107,-1.25928625919527
118-w,web,1,1,0,2,3,13.5910878918094,2.29552628401604,2.44258163238031,-1.21512688960293
119-w,web,1,1,1,8,3,17.2145314059704,2.74174247107492,4.03157213575957,-1.07472562502655
12-w,web,1,0,1,2,3,9.2857064806627,2.18512754442397,2.45487542733237,-1.25341333251446
120-w,web,1,1,1,2,1,12.8287782717342,2.32160497955785,2.4499379240118,-1.12139070513687
121-w,web,1,0,0,2,2,13.0883608845484,1.73201451082068,2.45118077252764,-1.33293837393616
122-w,web,1,0,1,2,1,12.1978881000199,2.08400617316865,2.4473166446795,-1.17849128639802
123-w,web,1,0,1,8,3,15.8014552285159,2.4163385131237,4.03444434977113,-1.14273080852176
124-w,web,1,0,1,2,1,12.2183142337771,2.0882975851569,2.44946689922711,-1.18606798545932
125-w,web,1,0,0,8,1,14.0652821260144,1.82401612411607,4.04480675235068,-1.26467267824862
126-w,web,1,0,0,8,2,15.5701375361086,2.31052535247145,4.04718517165993,-1.34919876197222
127-w,web,1,0,0,2,1,11.7160520052596,1.96892037014437,2.44754609345711,-1.26403055018881
128-w,web,1,1,1,2,2,15.1983358428045,2.45573142983432,2.44002466328087,-1.11941011568991
129-w,web,1,0,1,2,2,14.8094570421324,2.19793277664946,2.4414672719324,-1.12511940110521
13-w,web,1,1,0,8,3,11.525232922728,2.18295642344869,4.0506485021515,-1.25336064235601
130-w,web,1,0,0,2,1,11.7275100470478,1.86146911918215,2.44664761342441,-1.25838365298715
131-w,web,1,0,0,8,1,14.0896607238416,1.82219036706221,4.04447496263564,-1.26464591120487
132-w,web,1,1,0,8,3,16.5412967590373,2.30964793266315,4.05824809000256,-1.24326300093642
133-w,web,1,1,0,8,3,16.9201354755649,2.30964793266315,4.05694668540537,-1.23538241610357
134-w,web,1,1,0,2,2,13.874193176304,1.98396157677622,2.43581566491915,-1.23599946480356
135-w,web,1,1,0,2,1,13.9026178271999,2.08507264598725,2.45351213256147,-1.12014396266184
136-w,web,1,0,1,8,2,17.5651747947739,2.18804385322334,4.03366862444548,-1.1514801708896
137-w,web,1,1,0,8,3,16.6886568039444,2.30313860267242,4.06046209611125,-1.24300326789975
138-w,web,1,1,0,8,2,16.421517166068,1.95059651197674,4.031981867757,-1.23538241610357
139-w,web,1,1,1,2,3,14.6645480863104,2.69519265155694,2.44418247197457,-1.08379773722159
14-w,web,1,1,0,8,1,11.4971726781111,2.18295642344869,4.05275991492934,-1.2516240375935
140-w,web,1,0,1,2,3,13.232907698874,2.35280797506295,2.44140606037567,-1.1515956048266
141-w,web,1,1,0,8,3,16.8365380962586,2.30964793266315,4.03542097831931,-1.19854959927154
142-w,web,1,1,1,2,1,12.7626772623718,2.32150318295415,2.45173344532118,-1.12435895564151
143-w,web,1,0,1,8,1,15.1562071890377,2.08127130529913,4.03743336292788,-1.19291556115109
144-w,web,1,1,1,2,3,14.6395596406912,2.69629630124865,2.44330430225566,-1.07470448434051
145-w,web,1,0,0,2,2,13.0818448019459,1.72572712851133,2.45279687127565,-1.30630026509952
146-w,web,1,0,0,2,1,11.7214531540556,1.85617649556307,2.44849928842742,-1.26397706596107
147-w,web,1,0,0,2,2,13.0758428356724,1.73135255009345,2.45300684234288,-1.32159011432174
148-w,web,1,0,0,2,2,13.0733721685574,1.72078987076912,2.45273733648948,-1.29913924618939
149-w,web,1,0,1,2,3,13.0077418139831,2.32378102346813,2.44293101537032,-1.1439653210905
15-w,web,1,0,1,2,3,9.35045011801648,2.18295642344869,2.45856052267779,-1.25115114694212
150-w,web,1,0,0,2,1,11.7362229091089,1.86252044757186,2.44881974267393,-1.25793277983659
151-w,web,1,0,0,2,3,11.8767744225816,1.83295078856694,2.45844311656502,-1.35550571465338
